Image_Name,Label,Dominant_Color_Percentage,GradX_Avg,GradY_Avg,Homogeneity_0,Energy_0,Contrast_0,Correlation_0,Entropy_0
Floral-44.jpg,patterned,0.4609329,1.0575875E-7,-0.8365185,1.8420062408785685,3.3580597056235826,1195.9775428571297,0.9952485234602859,0.40350006752962186
Floral-42.jpg,patterned,0.5161924,-1.8495123E-7,-3.2572956E-5,1.7216920717045014,2.804907870249433,1488.524647619041,0.993511953630754,2.4326879752442014
Floral-41.jpg,patterned,0.6804622,-4.3394206E-7,2.3088498E-5,1.5314225916167732,2.1128507668934247,1609.065790476187,0.9922066385700475,4.820102148394588
Floral-40.jpg,patterned,0.4760583,-2.533775E-7,7.216479E-6,1.698572732342854,2.7131873215873012,1059.4010476190253,0.9955400033161,2.54699184345272
Floral-33.jpg,patterned,0.7385132,-0.007198155,-0.100154005,1.2756584706057272,0.7416224551020428,2607.760371428541,0.9804458252807307,8.813202149011634
Floral-27.jpg,patterned,0.45697057,-0.037037835,0.0035579752,1.2905063067295084,1.5149607073469384,4350.209980952419,0.9772407865387516,7.60156089427024
Floral-26.jpg,patterned,0.72680384,0.0044800034,-0.020310968,1.118684839609131,1.093906623628118,6851.421104762079,0.9623769789307748,9.167966317501048
Floral-32.jpg,patterned,0.38142705,-0.009769941,-0.10376727,1.2898884431286721,1.0676779895691608,7321.41351428584,0.9532245606976595,7.670865598570981
Floral-18.jpg,patterned,0.38844597,3.394852E-8,-0.3266031,1.1513701585954124,0.8778201906122448,4910.774304761984,0.9666980949020239,9.393716908200393
Floral-30.jpg,patterned,0.75218374,-0.00830504,-0.0040568337,1.6489743899391676,2.427938756462585,1512.8851238095283,0.9937026608295334,3.2601710240270085
Floral-24.PNG,patterned,0.5586057,0.022117732,2.0517923E-6,1.632563258746657,2.3171376564625854,5055.828190476194,0.9779226266577841,3.297302032662319
Floral-31.jpg,patterned,0.6110473,0.05327051,-0.033688813,1.0119975189270827,0.7642322295691609,4789.582495238192,0.97010223786237,10.893248488771741
Floral-25.jpg,patterned,0.45202392,-4.5212975E-8,0.06426894,0.9941308040632133,0.5749250524263039,2857.5437523809005,0.9824086026650495,11.30422616151765
Floral-19.jpg,patterned,0.48729664,1.7015292E-7,-0.41455305,1.0439543726043894,0.8307465244444444,3992.476590476204,0.9725660520438557,10.698739888108742
Floral-35.jpg,patterned,0.40134427,8.463321E-8,-1.8313674E-5,1.6657769555246196,2.557010819909297,1120.041161904753,0.9949995298157499,3.2553441799129175
Floral-09.jpg,patterned,0.3755969,0.047162652,-1.6058837E-5,1.7435259381206443,2.89355331138322,1730.2734285714362,0.992781490369487,2.0940300653576065
Floral-21.png,patterned,0.188864,-1.0730414E-7,-0.37674308,1.6779910176171526,2.6574453703401364,1410.0423238095016,0.9940059548746798,2.605112819137007
Floral-20.jpg,patterned,0.35596007,3.8573752E-8,-0.023342704,1.0644595317723127,0.8925250797732426,2737.0408190475328,0.9829459804189132,10.5217692055357
Floral-36.jpg,patterned,0.27174255,-1.07441984E-7,-6.41412E-5,1.6470799099481446,2.604662747165533,1614.9664952380974,0.9931818809783842,3.1320067393791464
Floral-22.jpg,patterned,0.3379931,0.015407521,-0.04378922,1.227511884823332,1.2185771999546484,2315.6230095237765,0.988624499733879,8.116153291019947
Floral-23.jpg,patterned,0.2847627,2.4949292E-8,-0.033403873,1.0876139293230644,0.9385855087528344,3759.8900000000217,0.9772460125171456,9.912564569163623
Floral-37.jpg,patterned,0.21982354,-0.27713305,-0.1074706,1.3620362828976045,1.4646728952834467,1709.6983999999773,0.9916696672686098,7.247607006084921
Floral-06.jpg,patterned,0.72094476,-2.280809E-7,0.004561904,1.6593311840914966,2.3463535670294786,2312.8395619047487,0.9894193604609784,3.4269299803432816
Floral-07.jpg,patterned,0.4161415,7.111704E-8,0.0039822813,1.5580227547355114,2.1234437034920637,2150.9909333333117,0.9896720511786363,4.80047716701686
Floral-13.jpg,patterned,0.65196997,0.007962038,-0.03704098,1.2561747194704092,1.319055309387755,2327.229295238055,0.9876349916935151,8.133589094306949
Floral-39.jpg,patterned,0.63187194,2.580041E-7,1.1359805E-5,1.8295966703066333,3.2454655879365077,896.8464190476012,0.9964295231749533,0.7773760944274064
Floral-05.jpg,patterned,0.53752834,2.197969E-8,0.004800752,1.6534048513100026,2.3130922877097504,2358.7277714285565,0.9889601323068924,3.585702838203626
Floral-11.jpg,patterned,0.25071993,-1.0121813E-8,-0.029834265,1.356730027153518,1.6474068901587304,4616.397047619062,0.9768655243751068,6.6264718003116485
Floral-04.jpg,patterned,0.46872315,1.18328686E-7,1.5270241E-5,1.7842143732082736,3.074862527528345,1643.0694857142953,0.9932398908350462,1.4591156082411918
Floral-38.jpg,patterned,0.79755545,9.3870156E-8,1.9178882,1.5627117419426506,1.9375379879365076,952.6585714285454,0.9956834722250937,4.733411049525946
Floral-14.jpg,patterned,0.62393844,0.0079517225,-0.03428343,1.2872861426712334,1.3157506329705217,2188.0713523809436,0.9894687761726244,7.743676948018007
Floral-28.jpg,patterned,0.63232005,-0.006191799,-0.101135105,1.2022525799214505,1.2907124585941046,4860.89686666674,0.9761098824732075,8.125026634865527
Floral-29.jpg,patterned,0.38803327,-0.0055614063,-0.0047557284,1.5156864987813123,2.096850435873016,1628.9567809523755,0.9929091612978045,4.677514030092804
Floral-15.jpg,patterned,0.7264108,1.3011058E-7,-0.039408397,1.1976488744356837,0.9423341822675737,1857.109695238106,0.9904814539212385,8.678943959876808
Floral-01.jpg,patterned,0.6211129,-6.27095E-8,-2.2670065E-6,1.722791401777854,2.7368711761451245,1368.961771428579,0.9942937586133154,2.416288362340935
Floral-17.jpg,patterned,0.23576476,-2.348922E-8,-0.28152958,1.1732012601688782,0.6734597775510138,4999.233657143004,0.9613413394485943,9.484550727043564
Floral-03.jpg,patterned,0.6246833,-0.7325312,8.7577555E-6,1.5835674569169738,2.338955034603175,2380.8126952380717,0.9892049003790557,3.8868155488103446
